word	why
ACTION	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
ARENA	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
ARTIST	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BARON	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BASE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BASED	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BAT	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BED	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BEG	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BELT	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BET	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BETA	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BILL	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BILLION	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BODIES	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BOND	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BORDER	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BOWL	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
BRAND	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
CABINET	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
CALLED	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
CAT	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
CHART	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
CHRIS	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
CLIENT	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
CRIED	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
CRIES	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
DEBUT	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
DEN	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
DID	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
DIET	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
DOCTOR	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
DRAG	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
FANS	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
FASTER	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
FATHER	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
FED	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
FELT	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
FILL	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
FIT	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
FOND	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
FUN	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
GAMES	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
GANG	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
GENRE	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
GRANT	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
GREET	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
GUN	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
HAST	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
HAT	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
HATRED	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
HELPED	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
HENRY	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
HILL	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
HIM	one of the 5,000 commonest English words, and en.wiktionary does not file it as Welsh
