word	why
ABBEY	Xuxen rejects it
ABBOT	Xuxen rejects it
ADVANTAGE	Xuxen rejects it
ADVICE	Xuxen rejects it
ADVOCACY	Xuxen rejects it
AFTERNOON	Xuxen rejects it
AGE	Xuxen rejects it
AGENT	Xuxen rejects it
AID	Xuxen rejects it
AIDE	Xuxen rejects it
AIR	Xuxen rejects it
ALAMEDA	Xuxen rejects it
ALGEBRA	Xuxen rejects it
ALIVE	Xuxen rejects it
ALL	Xuxen rejects it
ALLIANCE	Xuxen rejects it
ALLURE	Xuxen rejects it
ALONE	Xuxen rejects it
ALSO	Xuxen rejects it
ALT	Xuxen rejects it
ALWAYS	Xuxen rejects it
AMADOU	Xuxen rejects it
AMBER	Xuxen rejects it
AMNESTY	Xuxen rejects it
ANA	Xuxen rejects it
AND	Xuxen accepts it, but no Romance language has it: English only
ANDROID	Xuxen rejects it
ANTHRAX	Xuxen rejects it
ANY	Xuxen rejects it
ANYONE	Xuxen rejects it
ANYTHING	Xuxen rejects it
APE	Xuxen rejects it
APPEL	Xuxen rejects it
APPLE	Xuxen rejects it
AQUA	Xuxen rejects it
ARBOR	Xuxen rejects it
ARC	Xuxen rejects it
ARMADILLO	Xuxen rejects it
ARMS	Xuxen rejects it
ART	Xuxen rejects it
ARTIST	Xuxen rejects it
ASH	Xuxen rejects it
ASK	Xuxen rejects it
ASSHOLE	Xuxen rejects it
ASSOCIATION	Xuxen rejects it
ATTACK	Xuxen rejects it
AUGUST	Xuxen rejects it
AVE	Xuxen rejects it
AXE	Xuxen rejects it
BABY	Xuxen rejects it
BACK	Xuxen rejects it
BACON	Xuxen rejects it
BAD	Xuxen rejects it
BADGER	Xuxen rejects it
BAG	Xuxen rejects it
BAKER	Xuxen rejects it
BALANCE	Xuxen rejects it
BALD	Xuxen rejects it
BAMBINO	Xuxen rejects it
BANK	Xuxen rejects it
BANNING	Xuxen rejects it
BARN	by hand: English, though Xuxen and a Romance list accept it
BASEBALL	Xuxen rejects it
BASIL	Xuxen rejects it
BATTLEFIELD	Xuxen rejects it
BEACH	Xuxen rejects it
BEAM	Xuxen rejects it
BEAR	Xuxen rejects it
BEARD	Xuxen rejects it
BEAT	by hand: English, though Xuxen and a Romance list accept it
BEAVER	Xuxen rejects it
BED	Xuxen rejects it
BEE	spelled as Basque never spells
BEECH	Xuxen rejects it
BEIN	Xuxen rejects it
BELIEVE	Xuxen rejects it
BELL	Xuxen rejects it
BELT	Xuxen rejects it
BEND	Xuxen rejects it
BENE	Xuxen rejects it
BERG	Xuxen rejects it
BERRY	Xuxen rejects it
BET	Xuxen rejects it
BIG	Xuxen rejects it
BIJOU	Xuxen rejects it
BIN	Xuxen rejects it
BIRD	Xuxen rejects it
BISHOP	Xuxen rejects it
BITTER	by hand: English, though Xuxen and a Romance list accept it
BLACK	Xuxen rejects it
BLACKOUT	Xuxen rejects it
BLAT	Xuxen rejects it
BLIND	Xuxen rejects it
BLOCK	Xuxen rejects it
BLOOD	Xuxen rejects it
BLOOM	Xuxen rejects it
BLOW	Xuxen rejects it
BLOWJOB	Xuxen rejects it
BLUE	Xuxen rejects it
BOB	Xuxen rejects it
BOG	Xuxen rejects it
BONE	Xuxen rejects it
BOOB	Xuxen rejects it
BOOK	spelled as Basque never spells
BOOM	spelled as Basque never spells
BORROW	Xuxen rejects it
